Country,Year,Status,Life_expectancy,Alcohol,Hepatitis_B,BMI,Polio,Diphtheria,HIV_AIDS,GDP,thinness _1_19_years,thinness_5_9_years,Iso_code,Region,Region_encoded,Schooling,Measles
Albania,2010,0,76.2,5.28,99.0,54.3,99.0,99.0,0.1,494.358832,1.4,1.5,ALB,Europe,2,9.626666705,99.0
Albania,2011,0,76.6,5.37,99.0,55.1,99.0,99.0,0.1,4437.17868,1.4,1.5,ALB,Europe,2,9.800000191,99.0
Albania,2012,0,76.9,5.14,99.0,55.8,99.0,99.0,0.1,4247.61438,1.3,1.4,ALB,Europe,2,10.02999973,98.0
Albania,2013,0,77.2,4.76,99.0,56.5,99.0,99.0,0.1,4414.72314,1.3,1.4,ALB,Europe,2,10.01933975,99.0
Albania,2014,0,77.5,4.51,98.0,57.2,98.0,98.0,0.1,4575.763787,1.2,1.3,ALB,Europe,2,10.00867977,98.0
Albania,2015,0,77.8,4.6,99.0,58.0,99.0,99.0,0.1,3954.22783,1.2,1.3,ALB,Europe,2,9.998019791,97.0
United Arab Emirates,2000,0,74.2,1.64,92.0,54.1,94.0,94.0,0.1,3371.26869,5.4,5.1,ARE,Asia,1,8.47862322,94.0
United Arab Emirates,2001,0,74.5,1.67,92.0,55.0,94.0,94.0,0.1,3161.52935,5.3,5.1,ARE,Asia,1,8.58089853,94.0
United Arab Emirates,2002,0,74.7,1.72,92.0,56.0,94.0,94.0,0.1,31311.35936,5.3,5.0,ARE,Asia,1,8.68317384,94.0
United Arab Emirates,2003,0,74.9,1.74,92.0,56.8,94.0,94.0,0.1,3323.52318,5.2,5.0,ARE,Asia,1,8.785449151,94.0
United Arab Emirates,2004,0,75.1,1.77,92.0,57.0,94.0,94.0,0.1,36161.1761,5.2,4.9,ARE,Asia,1,8.887724461,94.0
United Arab Emirates,2005,0,75.3,1.79,92.0,56.6,94.0,94.0,0.1,39439.8197,5.1,4.9,ARE,Asia,1,8.989999771,92.0
United Arab Emirates,2006,0,75.4,1.74,92.0,55.8,94.0,92.0,0.1,42372.22166,5.1,4.9,ARE,Asia,1,9.158181624,92.0
United Arab Emirates,2007,0,75.6,1.69,92.0,55.1,94.0,92.0,0.1,42672.61323,5.1,4.9,ARE,Asia,1,9.326363477,92.0
United Arab Emirates,2008,0,75.8,1.86,92.0,54.8,94.0,92.0,0.1,45758.9554,5.1,4.9,ARE,Asia,1,9.49454533,92.0
United Arab Emirates,2009,0,76.0,1.73,93.0,55.1,94.0,93.0,0.1,3372.57517,5.1,4.9,ARE,Asia,1,9.662727183,93.0
United Arab Emirates,2010,0,76.2,1.69,94.0,55.8,94.0,94.0,0.1,3549.14832,5.1,4.9,ARE,Asia,1,9.830909035,94.0
United Arab Emirates,2011,0,76.3,1.73,95.0,57.1,95.0,95.0,0.1,4462.3129,5.1,4.9,ARE,Asia,1,9.999090888,95.0
United Arab Emirates,2012,0,76.5,1.75,96.0,58.6,96.0,96.0,0.1,42112.23565,5.1,5.0,ARE,Asia,1,10.16727274,96.0
United Arab Emirates,2013,0,76.7,1.82,98.0,6.5,98.0,98.0,0.1,4335.64268,5.2,5.0,ARE,Asia,1,10.33545459,98.0
United Arab Emirates,2014,0,76.9,1.91,99.0,62.4,99.0,99.0,0.1,44449.7435,5.2,5.0,ARE,Asia,1,10.50363645,99.0
United Arab Emirates,2015,0,77.1,1.27,99.0,64.2,99.0,99.0,0.1,3911.74689,5.3,5.1,ARE,Asia,1,10.6718183,99.0
Argentina,2000,0,74.1,7.68,93.0,54.0,88.0,83.0,0.1,7669.273916,1.2,1.1,ARG,South America,6,8.801999855,91.0
Argentina,2001,0,74.0,7.76,93.0,54.6,85.0,83.0,0.1,717.694674,1.2,1.1,ARG,South America,6,8.869999886,89.0
Argentina,2002,0,74.1,7.81,66.0,55.1,94.0,93.0,0.1,2579.193168,1.2,1.0,ARG,South America,6,9.394999981,95.0
Argentina,2003,0,74.1,7.62,73.0,55.7,95.0,96.0,0.1,333.4376,1.2,1.0,ARG,South America,6,9.920000076,97.0
Argentina,2004,0,74.7,7.63,81.0,56.3,91.0,98.0,0.1,4251.574348,1.1,1.0,ARG,South America,6,10.00999991,99.0
Argentina,2005,0,74.9,7.53,88.0,56.9,95.0,98.0,0.1,576.883829,1.1,1.0,ARG,South America,6,10.09999975,98.0
Argentina,2006,0,75.2,7.75,84.0,57.5,92.0,91.0,0.1,5878.76127,1.1,0.9,ARG,South America,6,10.18999958,97.0
Argentina,2007,0,74.8,8.16,85.0,58.0,92.0,91.0,0.1,7193.61764,1.1,0.9,ARG,South America,6,10.29999971,94.0
Argentina,2008,0,75.4,8.41,93.0,58.6,94.0,93.0,0.1,8953.359275,1.0,0.9,ARG,South America,6,10.40999985,96.0
Argentina,2009,0,75.6,8.33,94.0,59.2,97.0,94.0,0.1,8161.36966,1.0,0.9,ARG,South America,6,10.53999996,96.0
Argentina,2010,0,75.5,8.15,94.0,59.8,95.0,94.0,0.1,1276.265,1.0,0.9,ARG,South America,6,10.60000038,95.0
Argentina,2011,0,75.7,8.11,91.0,6.4,93.0,91.0,0.1,12726.9836,1.0,0.9,ARG,South America,6,10.69999981,95.0
Argentina,2012,0,75.9,8.35,91.0,61.0,99.0,91.0,0.1,12969.7712,1.0,0.9,ARG,South America,6,10.78999996,94.0
Argentina,2013,0,76.0,8.28,94.0,61.6,99.0,94.0,0.1,12976.63642,1.0,0.9,ARG,South America,6,10.89000034,94.0
Argentina,2014,0,76.2,7.93,94.0,62.2,92.0,94.0,0.1,12245.25645,1.0,0.9,ARG,South America,6,10.90999985,95.0
Argentina,2015,0,76.3,8.37,94.0,62.8,93.0,94.0,0.1,13467.1236,1.0,0.9,ARG,South America,6,10.92000008,89.0
Armenia,2000,0,72.0,2.9,95.0,47.1,96.0,93.0,0.1,622.7427477,2.1,2.2,ARM,Asia,1,10.49194093,92.0
Armenia,2001,0,72.6,2.86,69.0,47.4,97.0,94.0,0.1,694.435119,2.1,2.1,ARM,Asia,1,10.48999977,93.0
Armenia,2002,0,72.6,2.86,91.0,47.8,96.0,94.0,0.1,783.261699,2.1,2.1,ARM,Asia,1,10.55999975,91.0
Armenia,2003,0,72.7,3.03,93.0,48.1,96.0,94.0,0.1,93.1661567,2.0,2.1,ARM,Asia,1,10.62999973,94.0
Armenia,2004,0,73.0,3.81,91.0,48.4,93.0,91.0,0.1,1191.96192,2.0,2.1,ARM,Asia,1,10.69999971,92.0
Armenia,2005,0,73.0,4.25,91.0,48.8,92.0,95.0,0.1,1643.758397,2.0,2.1,ARM,Asia,1,10.76999969,94.0
Armenia,2006,0,72.9,4.01,78.0,49.2,87.0,87.0,0.1,2158.299,2.0,2.1,ARM,Asia,1,10.83999968,92.0
Armenia,2007,0,73.5,3.99,95.0,49.7,95.0,88.0,0.1,3138.8873,2.0,2.1,ARM,Asia,1,10.90999966,92.0
Armenia,2008,0,73.2,3.96,89.0,5.1,91.0,89.0,0.1,41.26997,2.0,2.1,ARM,Asia,1,10.97999964,94.0
Armenia,2009,0,73.3,3.96,93.0,5.7,94.0,93.0,0.1,2993.832531,2.0,2.1,ARM,Asia,1,11.04999962,96.0
Armenia,2010,0,73.5,4.23,94.0,51.2,96.0,94.0,0.1,3218.381655,2.0,2.1,ARM,Asia,1,11.1199996,97.0
Armenia,2011,0,73.9,4.09,95.0,51.9,96.0,95.0,0.1,3526.978143,2.0,2.1,ARM,Asia,1,11.18999958,97.0
Armenia,2012,0,74.4,3.89,95.0,52.6,96.0,95.0,0.1,3684.8481,2.0,2.1,ARM,Asia,1,11.28499961,97.0
Armenia,2013,0,74.4,3.79,95.0,53.3,96.0,95.0,0.1,3843.591213,2.1,2.1,ARM,Asia,1,11.37999964,97.0
Armenia,2014,0,74.6,3.91,93.0,54.1,95.0,93.0,0.1,3994.712355,2.1,2.1,ARM,Asia,1,11.47499967,97.0
Armenia,2015,0,74.8,4.06,94.0,54.9,96.0,94.0,0.1,369.654776,2.1,2.2,ARM,Asia,1,11.56999969,97.0
Antigua and Barbuda,2000,0,73.6,7.27,95.0,38.2,96.0,95.0,0.1,9875.161736,3.7,3.6,ATG,North America,3,9.202073771,95.0
Antigua and Barbuda,2001,0,73.8,7.51,96.0,38.9,99.0,97.0,0.1,9358.154162,3.6,3.5,ATG,North America,3,9.328779548,97.0
Antigua and Barbuda,2002,0,74.0,7.21,99.0,39.5,93.0,98.0,0.1,9386.716452,3.6,3.5,ATG,North America,3,9.457229971,99.0
Antigua and Barbuda,2003,0,74.2,7.16,99.0,4.1,99.0,99.0,0.1,9739.82556,3.5,3.5,ATG,North America,3,9.587449062,99.0
Antigua and Barbuda,2004,0,74.4,7.28,97.0,4.8,97.0,97.0,0.1,1352.8374,3.5,3.4,ATG,North America,3,9.719461174,97.0
Antigua and Barbuda,2005,0,74.6,8.15,99.0,41.4,98.0,99.0,0.1,11371.93895,3.5,3.4,ATG,North America,3,9.853290995,99.0
Antigua and Barbuda,2006,0,74.8,8.93,99.0,42.0,99.0,99.0,0.1,12724.39377,3.4,3.4,ATG,North America,3,9.988963554,99.0
Antigua and Barbuda,2007,0,75.0,8.64,97.0,42.6,98.0,99.0,0.1,14252.29452,3.4,3.3,ATG,North America,3,10.12650422,99.0
Antigua and Barbuda,2008,0,75.2,8.27,98.0,43.2,99.0,99.0,0.1,1473.31923,3.4,3.3,ATG,North America,3,10.26593873,99.0
Antigua and Barbuda,2009,0,75.4,7.82,98.0,43.8,98.0,99.0,0.1,1312.46692,3.4,3.3,ATG,North America,3,10.40729314,99.0
Antigua and Barbuda,2010,0,75.6,7.84,98.0,44.4,99.0,98.0,0.1,12126.87614,3.3,3.3,ATG,North America,3,10.5505939,98.0
Antigua and Barbuda,2011,0,75.7,7.84,99.0,45.1,99.0,99.0,0.1,11929.34991,3.3,3.3,ATG,North America,3,10.69586781,99.0
Antigua and Barbuda,2012,0,75.9,8.18,98.0,45.7,97.0,98.0,0.2,12565.44197,3.3,3.3,ATG,North America,3,10.84314203,98.0
Antigua and Barbuda,2013,0,76.1,8.58,99.0,46.4,98.0,99.0,0.2,12224.86416,3.3,3.3,ATG,North America,3,10.99244411,96.0
Antigua and Barbuda,2014,0,76.2,8.56,99.0,47.0,96.0,99.0,0.2,12888.29667,3.3,3.3,ATG,North America,3,11.14380197,93.0
Antigua and Barbuda,2015,0,76.4,8.89,99.0,47.7,86.0,99.0,0.2,13566.9541,3.3,3.3,ATG,North America,3,11.29515983,91.0
Australia,2000,1,79.5,10.17,88.0,58.2,88.0,86.0,0.1,2169.921,0.7,0.7,AUS,Oceania,4,11.28549308,91.0
Australia,2001,1,79.9,9.53,94.0,59.0,91.0,92.0,0.1,19517.84168,0.7,0.7,AUS,Oceania,4,11.34161987,92.0
Australia,2002,1,79.9,9.84,95.0,59.6,92.0,92.0,0.1,281.81763,0.7,0.7,AUS,Oceania,4,11.39774666,94.0
Australia,2003,1,83.0,9.97,95.0,6.3,92.0,93.0,0.1,23465.38559,0.7,0.7,AUS,Oceania,4,11.45387344,94.0
Australia,2004,1,86.0,9.84,95.0,6.9,92.0,92.0,0.1,3472.37977,0.7,0.6,AUS,Oceania,4,11.51000023,94.0
Australia,2005,1,81.0,10.3,95.0,61.5,92.0,92.0,0.1,3416.71483,0.7,0.6,AUS,Oceania,4,11.55000019,94.0
Australia,2006,1,81.2,10.31,95.0,62.0,92.0,92.0,0.1,36118.28381,0.7,0.6,AUS,Oceania,4,11.64000034,94.0
Australia,2007,1,81.3,10.56,94.0,62.5,92.0,92.0,0.1,4991.98289,0.7,0.6,AUS,Oceania,4,11.71000004,94.0
Australia,2008,1,81.3,10.76,94.0,62.9,92.0,92.0,0.1,49664.6854,0.7,0.6,AUS,Oceania,4,11.93999958,94.0
Australia,2009,1,81.7,10.62,94.0,63.4,92.0,92.0,0.1,42742.99898,0.7,0.6,AUS,Oceania,4,11.98999977,94.0
Australia,2010,1,81.9,10.52,92.0,63.9,92.0,92.0,0.1,51874.848,0.7,0.6,AUS,Oceania,4,12.02999973,94.0
Australia,2011,1,82.0,10.3,92.0,64.4,92.0,92.0,0.1,62245.129,0.6,0.6,AUS,Oceania,4,12.11999989,94.0
Australia,2012,1,82.3,10.03,91.0,65.0,92.0,92.0,0.1,67677.63477,0.6,0.6,AUS,Oceania,4,12.30000019,94.0
Australia,2013,1,82.5,9.87,91.0,65.5,91.0,91.0,0.1,67792.3386,0.6,0.6,AUS,Oceania,4,12.02000046,94.0
Australia,2014,1,82.7,9.71,91.0,66.1,92.0,92.0,0.1,62214.6912,0.6,0.6,AUS,Oceania,4,12.17000008,94.0
Australia,2015,1,82.8,10.18,93.0,66.6,93.0,93.0,0.1,56554.3876,0.6,0.6,AUS,Oceania,4,12.25,95.0
Austria,2000,1,78.1,13.2,33.0,5.1,71.0,81.0,0.1,24517.26745,1.7,1.9,AUT,Europe,2,11.10642883,75.0
Austria,2001,1,78.6,12.4,44.0,5.6,83.0,84.0,0.1,24489.73553,1.7,1.9,AUT,Europe,2,11.19714315,79.0
Austria,2002,1,78.7,12.5,81.0,51.2,82.0,83.0,0.1,26351.37568,1.7,1.9,AUT,Europe,2,11.28785746,78.0
Austria,2003,1,78.8,12.2,83.0,51.7,84.0,84.0,0.1,3212.9355,1.7,1.9,AUT,Europe,2,11.37857178,79.0
Austria,2004,1,79.3,12.1,83.0,52.2,83.0,83.0,0.1,36693.4262,1.7,1.9,AUT,Europe,2,11.4692861,74.0
Austria,2005,1,79.4,12.4,86.0,52.7,86.0,86.0,0.1,38242.4252,1.7,1.9,AUT,Europe,2,11.56000042,75.0
Austria,2006,1,79.8,12.4,83.0,53.2,83.0,83.0,0.1,443.99361,1.7,1.9,AUT,Europe,2,11.54500008,80.0
Austria,2007,1,81.0,12.5,85.0,53.7,85.0,85.0,0.1,46586.6525,1.7,1.9,AUT,Europe,2,11.52999973,79.0
Austria,2008,1,84.0,12.0,83.0,54.2,83.0,83.0,0.1,51386.37665,1.7,1.9,AUT,Europe,2,11.47000027,83.0
Austria,2009,1,82.0,11.3,83.0,54.7,83.0,83.0,0.1,47654.18721,1.7,1.9,AUT,Europe,2,11.67000008,76.0
Austria,2010,1,84.0,12.1,86.0,55.2,86.0,86.0,0.1,46657.629,1.7,1.9,AUT,Europe,2,11.71000004,80.0
Austria,2011,1,88.0,12.04,89.0,55.7,89.0,89.0,0.1,51126.74139,1.7,2.0,AUT,Europe,2,11.71000004,84.0
Austria,2012,1,88.0,12.26,92.0,56.1,92.0,92.0,0.1,48333.57273,1.8,2.0,AUT,Europe,2,11.75,88.0
Austria,2013,1,81.1,11.82,95.0,56.6,95.0,95.0,0.1,554.71532,1.8,2.0,AUT,Europe,2,11.78999996,92.0
Austria,2014,1,81.4,12.32,98.0,57.1,98.0,98.0,0.1,51322.63997,1.8,2.0,AUT,Europe,2,12.01000023,96.0
Austria,2015,1,81.5,11.09,93.0,57.6,93.0,93.0,0.1,43665.947,1.9,2.1,AUT,Europe,2,12.07999992,96.0
Azerbaijan,2000,0,66.6,0.65,95.0,42.1,75.0,76.0,0.1,655.974326,3.2,3.1,AZE,Asia,1,10.30000019,67.0
Azerbaijan,2001,0,67.5,0.51,95.0,42.6,77.0,77.0,0.1,73.6838434,3.1,3.1,AZE,Asia,1,10.34000015,68.0
Azerbaijan,2002,0,67.8,0.55,95.0,43.1,95.0,76.0,0.1,763.73858,3.1,3.1,AZE,Asia,1,10.38000011,66.0
Azerbaijan,2003,0,67.8,0.55,51.0,43.6,79.0,77.0,0.1,883.6439965,3.0,3.0,AZE,Asia,1,10.42000008,67.0
Azerbaijan,2004,0,68.4,0.62,95.0,44.2,78.0,77.0,0.1,145.2163,3.0,3.0,AZE,Asia,1,10.46000004,67.0
Azerbaijan,2005,0,68.4,0.73,49.0,44.7,79.0,75.0,0.1,1578.4239,2.9,3.0,AZE,Asia,1,10.5,67.0
Azerbaijan,2006,0,69.2,0.85,95.0,45.3,95.0,78.0,0.1,2473.85776,2.9,2.9,AZE,Asia,1,10.53999996,69.0
Azerbaijan,2007,0,73.0,1.02,62.0,45.9,81.0,79.0,0.1,3851.437869,2.8,2.9,AZE,Asia,1,10.57999992,75.0
Azerbaijan,2008,0,73.0,1.18,68.0,46.6,85.0,81.0,0.1,5574.6382,2.8,2.9,AZE,Asia,1,10.59000015,79.0
Azerbaijan,2009,0,78.0,2.1,74.0,47.3,84.0,81.0,0.1,495.294791,2.8,2.9,AZE,Asia,1,10.59000015,85.0
Azerbaijan,2010,0,71.1,1.98,95.0,48.0,85.0,81.0,0.1,5842.85784,2.8,2.9,AZE,Asia,1,10.60999966,89.0
Azerbaijan,2011,0,71.6,1.98,84.0,48.8,91.0,87.0,0.1,7189.691229,2.8,2.9,AZE,Asia,1,10.60999966,88.0
Azerbaijan,2012,0,71.9,0.01,88.0,49.7,92.0,89.0,0.1,7496.335728,2.8,2.8,AZE,Asia,1,10.60999966,86.0
Azerbaijan,2013,0,72.2,2.14,93.0,5.6,96.0,93.0,0.1,7875.756953,2.8,2.8,AZE,Asia,1,10.56999969,86.0
Azerbaijan,2014,0,72.5,0.01,94.0,51.5,97.0,94.0,0.1,7891.299776,2.8,2.9,AZE,Asia,1,10.56999969,85.0
Azerbaijan,2015,0,72.7,0.51,96.0,52.5,98.0,96.0,0.1,55.31382,2.8,2.9,AZE,Asia,1,10.56999969,84.0
Burundi,2000,0,58.0,6.61,87.0,12.8,71.0,83.0,5.2,135.9984455,9.0,8.9,BDI,Africa,0,1.998888943,72.0
Burundi,2001,0,51.3,6.09,87.0,13.0,72.0,81.0,5.3,133.7427689,8.8,8.8,BDI,Africa,0,2.052777833,73.0
Burundi,2002,0,51.5,5.98,87.0,13.3,74.0,81.0,5.2,122.4335893,8.7,8.7,BDI,Africa,0,2.106666724,75.0
Burundi,2003,0,51.9,5.84,87.0,13.5,75.0,82.0,5.1,112.849373,8.5,8.5,BDI,Africa,0,2.160555614,76.0
Burundi,2004,0,52.6,5.72,83.0,13.8,76.0,83.0,4.8,127.4296648,8.4,8.4,BDI,Africa,0,2.214444505,78.0
Burundi,2005,0,53.4,5.54,87.0,14.1,82.0,87.0,4.3,15.57434,8.2,8.3,BDI,Africa,0,2.268333395,87.0
Burundi,2006,0,54.1,4.5,92.0,14.5,88.0,92.0,3.8,165.8794176,8.1,8.2,BDI,Africa,0,2.322222286,92.0
Burundi,2007,0,54.8,4.54,99.0,14.8,93.0,99.0,3.4,17.79995,8.0,8.0,BDI,Africa,0,2.376111176,88.0
Burundi,2008,0,55.3,4.33,92.0,15.2,89.0,92.0,2.9,196.2472628,7.9,7.9,BDI,Africa,0,2.430000067,84.0
Burundi,2009,0,56.2,4.05,94.0,15.7,96.0,94.0,2.4,24.944652,7.8,7.8,BDI,Africa,0,2.363333384,91.0
Burundi,2010,0,56.8,4.16,96.0,16.1,94.0,96.0,1.9,231.1943256,7.7,7.7,BDI,Africa,0,2.296666702,92.0
Burundi,2011,0,57.4,4.16,96.0,16.6,95.0,96.0,1.5,26.479973,7.6,7.6,BDI,Africa,0,2.230000019,93.0
Burundi,2012,0,58.0,0.01,96.0,17.1,96.0,96.0,1.2,265.285651,7.5,7.5,BDI,Africa,0,2.163333337,93.0
Burundi,2013,0,58.6,0.01,96.0,17.6,96.0,96.0,1.0,282.7555252,7.4,7.4,BDI,Africa,0,2.096666654,98.0
Burundi,2014,0,59.1,0.01,95.0,18.2,95.0,95.0,0.7,312.7489794,7.4,7.3,BDI,Africa,0,2.029999971,94.0
Burundi,2015,0,59.6,3.1,94.0,18.7,94.0,94.0,0.7,33.681223,7.3,7.2,BDI,Africa,0,2.286666632,93.0
Belgium,2000,1,77.6,11.21,95.0,58.1,96.0,95.0,0.1,2327.4591,0.8,0.8,BEL,Europe,2,10.54152656,82.0
Belgium,2001,1,78.0,11.01,95.0,58.5,96.0,95.0,0.1,23121.56635,0.8,0.8,BEL,Europe,2,10.63867396,82.0
Belgium,2002,1,78.0,11.29,95.0,59.0,96.0,95.0,0.1,2552.3328,0.8,0.8,BEL,Europe,2,10.73582136,82.0
Belgium,2003,1,78.3,11.28,64.0,59.4,96.0,95.0,0.1,3743.95693,0.8,0.8,BEL,Europe,2,10.83296876,82.0
Belgium,2004,1,78.8,12.05,64.0,59.8,96.0,95.0,0.1,35589.71295,0.8,0.8,BEL,Europe,2,10.93011616,82.0
Belgium,2005,1,78.9,12.27,77.0,6.2,97.0,97.0,0.1,36967.28292,0.8,0.8,BEL,Europe,2,11.02726356,88.0
Belgium,2006,1,79.4,10.98,94.0,6.6,99.0,98.0,0.1,38852.3613,0.8,0.8,BEL,Europe,2,11.05000019,92.0
Belgium,2007,1,79.5,10.25,94.0,6.9,99.0,98.0,0.1,4443.83131,0.8,0.8,BEL,Europe,2,11.11500025,92.0
Belgium,2008,1,79.5,10.47,98.0,61.3,99.0,99.0,0.1,48424.58927,0.8,0.8,BEL,Europe,2,11.18000031,93.0
Belgium,2009,1,79.8,10.05,97.0,61.6,98.0,98.0,0.1,4488.5615,0.9,0.9,BEL,Europe,2,11.31999969,95.0
Belgium,2010,1,80.0,10.22,97.0,61.9,98.0,98.0,0.1,4438.23741,0.9,0.9,BEL,Europe,2,11.42000008,95.0
Belgium,2011,1,83.0,10.11,97.0,62.3,98.0,98.0,0.1,4772.77415,0.9,0.9,BEL,Europe,2,11.47000027,95.0
Belgium,2012,1,83.0,10.08,98.0,62.6,99.0,99.0,0.1,4474.5717,0.9,0.9,BEL,Europe,2,11.5,96.0
Belgium,2013,1,87.0,11.77,98.0,63.0,99.0,99.0,0.1,4651.38647,1.0,0.9,BEL,Europe,2,11.53999996,96.0
